Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
la-mer,La Mer,Enjoy Luxury Eye Concentrate and Deluxe Moisturizing Soft Lotion samples,4/30/2018,6,20,8
la-mer,La Mer,Free luxury Regenerating Serum,4/23/2018,19,25,13
la-mer,La Mer,Receive The Small Miracles Collection,4/22/2018,69,203,78
la-mer,La Mer,Select three sample treatments,4/12/2018,51,83,32
la-mer,La Mer,Free The Complete La Mer Moisture Collection,3/29/2018,43,79,55
la-mer,La Mer,Free Small Miracles Collection,3/23/2018,42,61,38
la-mer,La Mer,Free 2 Deluxe Samples + Free Standard Shipping,3/20/2018,21,42,21
la-mer,La Mer,Free 3 deluxe Samples,3/15/2018,22,69,31
la-mer,La Mer,Enjoy an exclusive deluxe sample of The Lifting Eye Serum,2/24/2018,100,249,118
la-mer,La Mer,Enjoy an exclusive deluxe sample of The Perfecting Treatment,2/22/2018,173,265,120
la-mer,La Mer,Free Deluxe Sample of The NEW Moisturizing Cool Gel Cream,2/19/2018,46,134,55
la-mer,La Mer,Choose a complimentary luxury-edition sample,2/15/2018,68,88,34
la-mer,La Mer,Enjoy the 4-piece Small Miracles Collection of our most coveted treatments with any $300 purchase,2/12/2018,26,87,41
la-mer,La Mer,Select three sample treatments,2/9/2018,70,149,63
la-mer,La Mer,Select a deluxe sample from our collection of bestsellers,2/4/2018,6,14,11
la-mer,La Mer,Select a deluxe sample from our collection of bestsellers,2/4/2018,27,55,26
la-mer,La Mer,Select a deluxe sample from our collection of bestsellers,2/3/2018,556,814,473
la-mer,La Mer,Select a deluxe sample from our collection of bestsellers,2/2/2018,2,14,3
la-mer,La Mer,Select a deluxe sample from our collection of bestsellers,2/2/2018,5,13,17
la-mer,La Mer,Enjoy 2 masks of your choice,1/24/2018,11,47,18
la-mer,La Mer,Enjoy a luxury size Crème de la Mer and a deluxe sample of The Renewal Oil,1/19/2018,20,83,31
la-mer,La Mer,Free Bodycare Trio Sets,1/19/2018,16,43,13
la-mer,La Mer,Choose a deluxe eye treatment,1/16/2018,23,64,22
la-mer,La Mer,"Enjoy a deluxe trio sample offer of Crème de la Mer, Renewal Oil and The Perfecting Treatment",1/13/2018,34,60,18
la-mer,La Mer,Enjoy an exclusive sample Crème de la Mer and The Lifting Contour Serum,1/10/2018,35,83,36
la-mer,La Mer,Enjoy an exclusive sample offer of The Renewal Oil,1/5/2018,32,73,19
la-mer,La Mer,Enjoy The 4-piece Small Miracles Collection,1/2/2018,49,123,71
la-mer,La Mer,Choose a complimentary luxury-edition sample,12/28/2017,35,59,19
la-mer,La Mer,Enjoy a deluxe sample duo,12/22/2017,11,48,27
la-mer,La Mer,Enjoy complimentary overnight shipping and a Trio of Bestsellers,12/21/2017,24,78,24
la-mer,La Mer,Receive a 4-Piece Travel Set,12/20/2017,52,107,91
la-mer,La Mer,Enjoy your choice of 2 deluxe samples,12/17/2017,13,48,16
la-mer,La Mer,Receive 2 Deluxe Samples of The Moisturizing Matte Lotion and The Eye Concentrate,12/16/2017,8,47,23
la-mer,La Mer,Receive 2 Deluxe Samples of The Cleansing Gel and the Cleansing Micellar Water,12/16/2017,43,33,14
la-mer,La Mer,Receive 2 Deluxe Samples of The Moisturizing Soft Lotion and The Reparative Body Lotion,12/14/2017,38,29,19
la-mer,La Mer,Receive 2 Samples of The Renewal Oil and The Moisturizing Soft Cream,12/13/2017,37,73,33
la-mer,La Mer,Receive 2 Samples of The Renewal Oil and The Moisturizing Soft Cream,12/12/2017,53,57,24
la-mer,La Mer,Choose 2 La Mer treatments from a tempting array-yours,12/8/2017,47,74,35
la-mer,La Mer,Explore our gift guide and enter your horoscope sign at checkout,12/5/2017,37,61,44
la-mer,La Mer,Enjoy a duo sample offer of The Intensive Revitalizing Mask & The Cleansing Gel,12/3/2017,14,45,25
la-mer,La Mer,Free The Moisture Collection + 2 Samples,11/30/2017,41,39,20
la-mer,La Mer,$100 off purchase of $500 or more,11/29/2017,197,286,296
la-mer,La Mer,$100 off purchase of $500 or more,11/29/2017,2,12,12
la-mer,La Mer,$100 off purchase of $500 or more,11/29/2017,5,20,13
la-mer,La Mer,$100 off purchase of $500 or more,11/28/2017,10,27,16
la-mer,La Mer,$100 off purchase of $500 or more,11/28/2017,,13,5
la-mer,La Mer,$100 off purchase of $500 or more,11/27/2017,5,6,6
la-mer,La Mer,$100 off purchase of $500 or more,11/27/2017,18,36,29
la-mer,La Mer,$100 off purchase of $500 or more,11/27/2017,1,42,32
la-mer,La Mer,$100 off purchase of $500 or more,11/27/2017,17,22,23
la-mer,La Mer,$100 off purchase of $500 or more,11/27/2017,415,914,1192
la-mer,La Mer,Choose 4 deluxe samples,11/26/2017,237,371,335
la-mer,La Mer,Enjoy The Small Miracles Collection,11/21/2017,60,224,198
la-mer,La Mer,Enjoy a duo sample offer of The Moisturizing Gel Cream and The Regenerating Serum,11/17/2017,63,115,78
la-mer,La Mer,Choose 4 deluxe samples,11/11/2017,17,70,30
la-mer,La Mer,$100 off purchase of $500 or more,11/8/2017,13,48,48
la-mer,La Mer,$100 off purchase of $500 or more,11/8/2017,12,20,8
la-mer,La Mer,$100 off purchase of $500 or more,11/8/2017,2,18,8
la-mer,La Mer,$100 off purchase of $500 or more,11/8/2017,579,1494,1976
la-mer,La Mer,$100 off purchase of $500 or more,11/8/2017,17,51,32
la-mer,La Mer,$100 off purchase of $500 or more,11/8/2017,30,172,91
la-mer,La Mer,$100 off purchase of $500 or more,11/8/2017,15,19,12
la-mer,La Mer,$100 off purchase of $500 or more,11/7/2017,10,29,17
la-mer,La Mer,$100 off purchase of $500 or more,11/7/2017,11,91,50
la-mer,La Mer,$500+ Get $100 OFF,11/7/2017,13,55,21
la-mer,La Mer,Enjoy a deluxe sample of The Treatment Lotion,11/4/2017,118,377,225
la-mer,La Mer,Enjoy a deluxe sample of The Perfecting Treatment,10/29/2017,42,109,49
la-mer,La Mer,"Enjoy a deluxe sample trio of The Regenerating Serum, The Moisturizing Soft Lotion and The Lifting Eye Serum",10/26/2017,32,165,91
la-mer,La Mer,Enjoy The Small Miracles Collection,10/17/2017,49,110,52
la-mer,La Mer,Enjoya luxury sample duo of The Eye Concentrate and The Treatment Lotion,10/15/2017,14,46,24
la-mer,La Mer,Enjoy a deluxe sample duo of The Renewal Oil and Crème de la Mer,10/4/2017,11,38,13
la-mer,La Mer,Enjoy a deluxe sample of Crème de la Mer,9/21/2017,15,60,21
la-mer,La Mer,Enjoy a trio of deluxe samples,9/19/2017,33,41,31
la-mer,La Mer,Enjoy a complimentary mini-regimen,9/19/2017,18,78,32
la-mer,La Mer,Enjoy a luxury size sample of The Regenerating Serum,9/18/2017,32,68,40
la-mer,La Mer,Receive the 4-Piece Small Gift,9/8/2017,,4,4
la-mer,La Mer,Enjoy a deluxe sample of Crème de la Mer,8/31/2017,20,45,19
la-mer,La Mer,Enjoy a deluxe sample duo of The Moisturizing Soft Cream and The Concentrate,8/26/2017,32,81,61
la-mer,La Mer,Enjoy a deluxe sample of The Eye Concentrate,8/23/2017,18,40,24
la-mer,La Mer,Choose one indulgent mask sample,8/18/2017,14,33,7
la-mer,La Mer,Enjoy a deluxe sample of The Tonic,8/15/2017,8,10,3
la-mer,La Mer,Enjoy a deluxe sample duo of The Revitalizing Hydrating Serum and Crème de la Mer,8/10/2017,1,36,15
la-mer,La Mer,Enjoy a deluxe sample duo of The Moisturizing Gel Cream and The Concentrate,8/10/2017,4,48,18
la-mer,La Mer,Enjoy A Deluxe Sample Due Of The Moisturizing Matte Lotion and The Perfecting Treatment,8/8/2017,4,20,8
la-mer,La Mer,Enjoy a sample duo of The Eye Concentrate and The Moisturizing Soft Cream,8/7/2017,13,18,9
la-mer,La Mer,Enjoy your sample trio of choice,8/4/2017,35,98,32
la-mer,La Mer,Enjoy a deluxe sample of the perfecting treatment,8/1/2017,17,24,19
la-mer,La Mer,Select three indulgent sample treatments,7/23/2017,15,56,18
la-mer,La Mer,Select three indulgent sample treatments,7/18/2017,219,249,163
la-mer,La Mer,enjoy a deluxe sampleof The Regenerating Serum and The Eye Balm Intense with a decorative travel bag,7/13/2017,10,36,12
la-mer,La Mer,enjoy a deluxe sample of The Lifting Contour Serum,7/5/2017,11,52,32
la-mer,La Mer,Enjoy a deluxe sample duo of The Renewal Oil and Crème de la mer,6/26/2017,5,39,24
la-mer,La Mer,Dealmoon Exclusive! $75 off + GWP,6/26/2017,6,23,20
la-mer,La Mer,Dealmoon Exclusive! $75 off first purchase of $350 or more,6/26/2017,157,333,312
la-mer,La Mer,Dealmoon Exclusive! $75 off + GWP,6/25/2017,10,6,7
la-mer,La Mer,Dealmoon Exclusive! $75 off,6/25/2017,7,12,5
la-mer,La Mer,Dealmoon Exclusive! $75 off,6/25/2017,4,18,10
la-mer,La Mer,Dealmoon Exclusive! $75 off,6/25/2017,6,14,18
la-mer,La Mer,Dealmoon Exclusive! $75 Off,6/25/2017,2,24,16
la-mer,La Mer,Dealmoon Exclusive! $75 off,6/25/2017,,13,22
la-mer,La Mer,Dealmoon Exclusive! $75 off + GWP,6/25/2017,11,29,11
la-mer,La Mer,Enjoy a complimentary introduction to four of our latest treatments,6/22/2017,1,12,5
la-mer,La Mer,Dealmoon Exclusive! 2 Deluxe Bestselling Samples,6/20/2017,1,5,4
la-mer,La Mer,Enjoy a sample duo of The Concentrate and The Moisturizing Gel Cream,6/19/2017,12,26,5
la-mer,La Mer,Choose a 4-pc regimen,6/16/2017,68,120,66
la-mer,La Mer,Receive an exclusive duo sample offer of The Illuminating Eye Gel and The Regenerating Serum,6/9/2017,16,47,9
la-mer,La Mer,Receive a deluxe sample duo of The Treatment Lotion and The Eye Balm Intense,6/8/2017,5,14,6
la-mer,La Mer,Receive the complete La Mer Mask Collection in a custom cosmetic bag,6/6/2017,9,22,4
la-mer,La Mer,Enjoy a deluxe sample of NEW The Moisturizing Matte Lotion,6/5/2017,4,23,4
la-mer,La Mer,Dealmoon Exclusive! $75 off,6/2/2017,32,56,32
la-mer,La Mer,$75 Off,6/2/2017,1,37,28
la-mer,La Mer,Dealmoon Exclusive! $75 Off,6/2/2017,12,36,28
la-mer,La Mer,Dealmoon Exclusive! $75 off,6/2/2017,,4,5
la-mer,La Mer,Dealmoon Exclusive! $75 off,6/1/2017,26,57,37
la-mer,La Mer,Receive The Small Miracles Collection with any online purchase of $300 or more,5/25/2017,14,41,27
