,Posted_date,Store,Discount,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
24,2011-06-19,0.0,0.0,0.0,0.0,0.0,2011,6,19,Sunday,False,Fathers's day,Fathers's day,Fathers's day,Fathers's day,0.0,False
25,2011-06-20,0.0,0.0,0.0,0.0,0.0,2011,6,20,Monday,False,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
26,2011-06-21,0.0,0.0,0.0,0.0,0.0,2011,6,21,Tuesday,False,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
27,2011-06-22,0.0,0.0,0.0,0.0,0.0,2011,6,22,Wednesday,False,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
28,2011-06-23,0.0,0.0,0.0,0.0,0.0,2011,6,23,Thursday,False,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
29,2011-06-24,0.0,0.0,0.0,0.0,0.0,2011,6,24,Friday,True,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
30,2011-06-25,0.0,0.0,0.0,0.0,0.0,2011,6,25,Saturday,True,Normal,Fathers's day,Fathers's day,Fathers's day,0.0,False
31,2011-06-26,Clarins,Free 7 samples with,0.0,0.0,0.0,2011,6,26,Sunday,False,Normal,Normal,Fathers's day,Fathers's day,0.0,False
32,2011-06-27,0.0,0.0,0.0,0.0,0.0,2011,6,27,Monday,False,Normal,Normal,Independence Day,Independence Day,0.0,False
33,2011-06-28,0.0,0.0,0.0,0.0,0.0,2011,6,28,Tuesday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
34,2011-06-29,0.0,0.0,0.0,0.0,0.0,2011,6,29,Wednesday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
35,2011-06-30,0.0,0.0,0.0,0.0,0.0,2011,6,30,Thursday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
36,2011-07-01,0.0,0.0,0.0,0.0,0.0,2011,7,1,Friday,True,Normal,Independence Day,Independence Day,Independence Day,0.0,False
37,2011-07-02,0.0,0.0,0.0,0.0,0.0,2011,7,2,Saturday,True,Normal,Independence Day,Independence Day,Independence Day,0.0,False
38,2011-07-03,0.0,0.0,0.0,0.0,0.0,2011,7,3,Sunday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
39,2011-07-04,0.0,0.0,0.0,0.0,0.0,2011,7,4,Monday,False,Independence Day,Independence Day,Independence Day,Independence Day,0.0,False
40,2011-07-05,0.0,0.0,0.0,0.0,0.0,2011,7,5,Tuesday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
41,2011-07-06,0.0,0.0,0.0,0.0,0.0,2011,7,6,Wednesday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
42,2011-07-07,0.0,0.0,0.0,0.0,0.0,2011,7,7,Thursday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
43,2011-07-08,Clarins,Free 8-Piece gift + 4 samples + free shipping with $75 purchase,0.0,0.0,0.0,2011,7,8,Friday,True,Normal,Independence Day,Independence Day,Independence Day,0.0,False
44,2011-07-09,0.0,0.0,0.0,0.0,0.0,2011,7,9,Saturday,True,Normal,Independence Day,Independence Day,Independence Day,0.0,False
45,2011-07-10,0.0,0.0,0.0,0.0,0.0,2011,7,10,Sunday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
46,2011-07-11,0.0,0.0,0.0,0.0,0.0,2011,7,11,Monday,False,Normal,Normal,Independence Day,Independence Day,0.0,False
47,2011-07-12,0.0,0.0,0.0,0.0,0.0,2011,7,12,Tuesday,False,Normal,Normal,Independence Day,Independence Day,0.0,False
48,2011-07-13,0.0,0.0,0.0,0.0,0.0,2011,7,13,Wednesday,False,Normal,Normal,Independence Day,Independence Day,0.0,False
49,2011-07-14,0.0,0.0,0.0,0.0,0.0,2011,7,14,Thursday,False,Normal,Normal,Independence Day,Independence Day,0.0,False
