,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
15,Lancome,Today only,2011-09-18,0.0,0.0,0.0,2011,9,18,Sunday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
16,Lancome,FREE 6-pc Gift,2011-09-21,0.0,0.0,0.0,2011,9,21,Wednesday,False,Normal,Normal,Normal,Labor Day,0.0,True
17,Lancome,Lancome Deal,2011-09-27,0.0,0.0,0.0,2011,9,27,Tuesday,False,Normal,Normal,Columbus Day,Columbus Day,0.0,False
18,Lancome,Receive 4-piece sample set + FREE shipping,2011-10-01,0.0,0.0,0.0,2011,10,1,Saturday,True,Normal,Normal,Columbus Day,Columbus Day,0.0,False
19,Lancome,FREE Gifts,2011-10-02,0.0,0.0,0.0,2011,10,2,Sunday,False,Normal,Normal,Columbus Day,Columbus Day,0.0,True
20,Lancome,Free 5-pc Deluxe Samples,2011-10-03,0.0,0.0,0.0,2011,10,3,Monday,False,Normal,Normal,Columbus Day,Columbus Day,0.0,True
21,Lancome,Free Deluxe 7-Day Supply,2011-10-04,0.0,0.0,0.0,2011,10,4,Tuesday,False,Normal,Columbus Day,Columbus Day,Columbus Day,0.0,False
22,Lancome,6 Delux Samples ($115 value),2011-10-09,0.0,0.0,0.0,2011,10,9,Sunday,False,Normal,Columbus Day,Columbus Day,Columbus Day,0.0,True
23,Lancome,Free Sample Duo and Shipping,2011-10-13,0.0,0.0,0.0,2011,10,13,Thursday,False,Normal,Columbus Day,Columbus Day,Columbus Day,0.0,True
24,Lancome,8 FREE samples,2011-10-25,0.0,0.0,0.0,2011,10,25,Tuesday,False,Normal,Normal,Normal,Columbus Day,0.0,False
25,Lancome,Choose 4 samples (up to $114),2011-10-28,0.0,0.0,0.0,2011,10,28,Friday,True,Normal,Normal,Normal,Veterans Day,0.0,False
26,Lancome,Lancome New Coupon,2011-11-03,0.0,0.0,0.0,2011,11,3,Thursday,False,Normal,Normal,Veterans Day,Veterans Day,0.0,False
27,Lancome,Lancome New Coupon,2011-11-08,0.0,0.0,0.0,2011,11,8,Tuesday,False,Normal,Veterans Day,Veterans Day,Veterans Day,0.0,False
28,Lancome,Free 6-pc Sample (over $180 value),2011-11-14,0.0,0.0,0.0,2011,11,14,Monday,False,Normal,Veterans Day,Veterans Day,Veterans Day,0.0,True
29,Lancome,FREE,2011-11-18,0.0,0.0,0.0,2011,11,18,Friday,True,Normal,Thanksgiving,Thanksgiving,Thanksgiving,0.0,False
30,Lancome,20% OFF,2011-11-28,0.0,0.0,0.0,2011,11,28,Monday,False,Normal,Thanksgiving,Thanksgiving,Thanksgiving,0.2,False
31,Lancome,Ending Today!,2011-11-30,0.0,0.0,0.0,2011,11,30,Wednesday,False,Normal,Thanksgiving,Thanksgiving,Thanksgiving,0.0,False
32,Lancome,Free Deluxe Samples,2011-12-01,0.0,0.0,0.0,2011,12,1,Thursday,False,Normal,Normal,Thanksgiving,Thanksgiving,0.0,True
33,Lancome,5 Deluxe Sample + Free Shipping,2011-12-11,0.0,0.0,0.0,2011,12,11,Sunday,False,Normal,Normal,Normal,Christmas Day,0.0,True
34,Lancome,Lancome New Coupons,2011-12-14,0.0,0.0,0.0,2011,12,14,Wednesday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
35,Lancome,Lancome Promotion:,2011-12-29,0.0,0.0,0.0,2011,12,29,Thursday,False,Normal,Christmas Day (Observed),Christmas Day (Observed),Christmas Day (Observed),0.0,False
36,Lancome,Lancome GWP:,2012-01-05,0.0,0.0,0.0,2012,1,5,Thursday,False,Normal,New Year's Day (Observed),New Year's Day (Observed),New Year's Day (Observed),0.0,True
37,Lancome,Free Gift ($122 value),2012-01-15,0.0,0.0,0.0,2012,1,15,Sunday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,True
38,Lancome,['Free Gift ($105 value)' 'Free Gift ($148 value)'],2012-01-27,0.0,0.0,0.0,2012,1,27,Friday,True,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
39,Lancome,Free Samples with Purchase!,2012-02-01,0.0,0.0,0.0,2012,2,1,Wednesday,False,Normal,Normal,Normal,Martin Luther King Jr. Day,0.0,True
40,Lancome,Lancome Offer:,2012-02-06,0.0,0.0,0.0,2012,2,6,Monday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
41,Lancome,Today Only!,2012-02-09,0.0,0.0,0.0,2012,2,9,Thursday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
42,Lancome,Today Only!,2012-02-14,0.0,0.0,0.0,2012,2,14,Tuesday,False,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,False
43,Lancome,Lancome Gift With Purchase,2012-02-19,0.0,0.0,0.0,2012,2,19,Sunday,False,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,True
44,Lancome,9 pcs Deluxe Gift Set Sample,2012-02-21,0.0,0.0,0.0,2012,2,21,Tuesday,False,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,True
45,Lancome,Receive a 4 piece sample plus Free Shipping,2012-02-22,0.0,0.0,0.0,2012,2,22,Wednesday,False,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,False
46,Lancome,Lancome:,2012-02-27,0.0,0.0,0.0,2012,2,27,Monday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
47,Lancome,Free Samples ($83 value),2012-03-07,0.0,0.0,0.0,2012,3,7,Wednesday,False,Normal,Normal,Normal,Washington's Birthday,0.0,True
48,Lancome,Today Only!,2012-03-09,0.0,0.0,0.0,2012,3,9,Friday,True,Normal,Normal,Normal,Washington's Birthday,0.0,False
49,Lancome,Today Only!,2012-03-11,0.0,0.0,0.0,2012,3,11,Sunday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
