Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
Lancome,with $120+ ADVANCED GÉNIFIQUE EYE LIGHT PEARL @ Lancôme,Lancôme offers up to $268 valued gifts with $120+ ADVANCED GÉNIFIQUE EYE LIGHT PEARL. Receive 7-pc gifts with any $60,04/18/2019,,11,18,7
Lancome,Beauty Sale @ Lancome,"Lancome offers get free gifts with gift sets purchase. Receive 7-pc gifts with any $60 purchase . Plus, receive an",04/18/2019,,55,89,45
Lancome,with $49+ Lancome Foundation purchased,Lancome offers up to  20% off on $49+  Lancome Foundation purchasevia coupon code,04/18/2019,,8,32,14
Lancome,with $49+ Génifique Yeux purchase @ Lancôme,Lancôme offers 20% off on $49+ Génifique Yeux purchase via coupon code,04/18/2019,,3,15,11
Lancome,With $49+ Énergie De Vie Purchase @ Lancôme,Lancôme offers 20% off on $49+  Énergie De Vie Purchase via coupon code,04/17/2019,,18,25,23
Lancome,with $120+ Limited Edition Gift Sets purchase @ Lancôme,Lancôme offers up to $268 valued gifts with $120+ Limited Edition Gift Sets purchase. Receive 7-pc gifts with any $60,04/13/2019,,1,5,3
Lancome,$49+ orders @ Lancôme,"Lancome offers free 5-pc gift with any $49+ orders. via coupon code ""april"". Free shipping on $49+ orders.",04/03/2019,,7,25,11
Lancome,Last Day: gifts sets and 30% off phased out faves @ Lancome,"Lancome offers enjoy 20% off gifts sets and 30% off phased out faves via coupon code """". Free shipping on orders over $49. Deal ends 3/28.",03/29/2019,03/28/2019,21,45,22
Lancome,Last Day: Sitewide @ Lancôme,"Lancôme offers enjoy 20% off $49+ order , Spend $75+ and get 5 deluxe samples, Spend $95+ and get 4 ADVANCED GÉNIFIQUE SERUMS+",03/27/2019,,1804,1253,1118
Lancome,Last Day: with Advanced Genifique Sensitive Serum purchase @ Lancôme,"Lancôme offers enjoy 20% off with Advanced Genifique Sensitive Serum purchase and get 5 deluxe samples, Spend $95+ and get 4 Genifique",03/27/2019,,3,25,9
Lancome,with Hydra Zen Beauty purchase @ Lancôme,"Lancome offers 20% off with $49+ Hydra Zen Beauty purchase and get 5 deluxe samples, Spend $95+ and get 4 Genifique serum samples and 1",03/27/2019,,3,23,17
Lancome,with any Lips & Nails purchase @ Lancôme,"Lancome offers enjoy 20% off $49 purchase + gwp with any Lips & Nails purchase and get 5 deluxe samples, Spend $95+ and get 4 Genifique serum samples and",03/27/2019,,2,23,14
Lancome,with Rose Collection purchase @ Lancôme,"Lancôme offers enjoy 20% off on orders $49 with Rose Collection purchase and get 5 deluxe samples, Spend $95+ and get 4 Genifique serum",03/27/2019,,23,28,12
Lancome,with Tonique Confort purchase @ Lancôme,"Lancôme offers enjoy 20% off on orders $49 with Tonique Confort purchase and get 5 deluxe samples, Spend $95+ and get 4 Genifique serum",03/27/2019,,15,54,42
Lancome,with Advanced Génifique Youth Activating Serum purchase @ Lancôme,"Lancôme offers enjoy 20% off on orders $49 with Advanced Génifique Youth Activating Serum purchase Spend $75+ and get 5 deluxe samples,",03/26/2019,,22,59,51
Lancome,with Génifique Yeux purchase @ Lancôme,"Lancome offers 20% off with $49+ Génifique Yeux purchase and get 5 deluxe samples, Spend $95+ and get 4 Genifique serum samples and 1 Genifique eye",03/26/2019,,1,7,4
Lancome,with ADVANCED GÉNIFIQUE EYE LIGHT PEARL @ Lancôme,"Lancome offers the 20% off with $49 purchase of ADVANCED GÉNIFIQUE EYE LIGHT PEARL for and get 5 deluxe samples, Spend $95+ and",03/24/2019,,,12,4
Lancome,With Énergie De Vie Purchase @ Lancôme,"Lancome offers enjoy 20% off any $49+ orders With Énergie De Vie Purchase and get 5 deluxe samples, Spend $95+ and get 4 Genifique",03/22/2019,,5,9,3
