,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
109,Clinique,['Free Shipping' 'FREE'],2013-05-02,0.0,3.0,0.0,2013,5,2,Thursday,False,Normal,Normal,Normal,Memorial Day,0.0,False
110,Clinique,Free 2 makeup minis,2013-05-09,0.0,1.0,0.0,2013,5,9,Thursday,False,Normal,Normal,Normal,Memorial Day,0.0,False
111,Clinique,FREE,2013-05-11,0.0,0.0,0.0,2013,5,11,Saturday,True,Normal,Normal,Normal,Memorial Day,0.0,False
112,Clinique,Free 3 Minis+ Free Shipping,2013-05-18,0.0,0.0,0.0,2013,5,18,Saturday,True,Normal,Normal,Memorial Day,Memorial Day,0.0,False
113,Clinique,Free 2 Makeup Minis,2013-05-19,0.0,0.0,0.0,2013,5,19,Sunday,False,Normal,Normal,Memorial Day,Memorial Day,0.0,False
114,Clinique,Free 2 Summer Minis,2013-05-21,0.0,0.0,0.0,2013,5,21,Tuesday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
115,Clinique,Free Gift Roundup,2013-05-23,0.0,1.0,0.0,2013,5,23,Thursday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,True
116,Clinique,Free Mini + Free Flip Flops with 2 Nail Enamel purchase + Free Shipping,2013-05-25,0.0,0.0,0.0,2013,5,25,Saturday,True,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
117,Clinique,$34.50 ,2013-05-30,0.0,0.0,0.0,2013,5,30,Thursday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
118,Clinique,"['Two Free Minis'
 'Free Full Size Dramatically Different Moisturizing Lotion($14.50 Value)']",2013-06-04,0.0,5.0,0.0,2013,6,4,Tuesday,False,Normal,Normal,Memorial Day,Memorial Day,0.0,False
119,Clinique,Full-size M Shave Aloe Gel plus a sleek dopp kit,2013-06-08,0.0,1.0,0.0,2013,6,8,Saturday,True,Normal,Normal,Memorial Day,Memorial Day,0.0,True
120,Clinique,3 Free Minis,2013-06-12,0.0,0.0,0.0,2013,6,12,Wednesday,False,Normal,Normal,Normal,Memorial Day,0.0,False
121,Clinique,Free 3 FREE Minis+ Free Shipping,2013-06-14,0.0,0.0,0.0,2013,6,14,Friday,True,Normal,Normal,Normal,Memorial Day,0.0,False
122,Clinique,['Free shipping' 'Free Surprise Gift ($65 Value)'],2013-06-21,0.0,2.0,0.0,2013,6,21,Friday,True,Normal,Normal,Independence Day,Independence Day,0.0,False
123,Clinique,Free 3 Minis,2013-06-27,0.0,0.0,0.0,2013,6,27,Thursday,False,Normal,Normal,Independence Day,Independence Day,0.0,False
